doc_id,group,engine,device,lang,n_pages,seconds,sec_per_page,gt_found,gt_chars,pred_chars,gt_words,pred_words,exact_match,cer,wer,char_errors,word_errors,normalize,error,pdf,gt,pred_path
ch__1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D,ch,paddleocr_vl,gpu:0,,,,,1,1110,1052,75,19,0,0.066667,0.92,74,69,basic,,/home/hjkim/doc_ocr/data/ch/1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.pdf,/home/hjkim/doc_ocr/data/gt/ch/1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.txt
ch__四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书,ch,paddleocr_vl,gpu:0,,,,,1,4612,4524,236,121,0,0.041197,0.84322,190,199,basic,,/home/hjkim/doc_ocr/data/ch/四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.pdf,/home/hjkim/doc_ocr/data/gt/ch/四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.txt
ch__（2025）빴0115覲놓1254뵀(覲慤털엄蝎),ch,paddleocr_vl,gpu:0,,2,6.127,3.063,1,1164,712,37,4,0,0.97079,1.0,1130,37,basic,,/home/hjkim/doc_ocr/data/ch/（2025）빴0115覲놓1254뵀(覲慤털엄蝎).pdf,/home/hjkim/doc_ocr/data/gt/ch/（2025）빴0115覲놓1254뵀(覲慤털엄蝎).txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__（2025）빴0115覲놓1254뵀(覲慤털엄蝎).txt
ch__（2025）빴0120覲놓15뵀(覲慤털엄蝎),ch,paddleocr_vl,gpu:0,,2,2.66,1.33,1,1148,89,38,25,0,0.94338,1.0,1083,38,basic,,/home/hjkim/doc_ocr/data/ch/（2025）빴0120覲놓15뵀(覲慤털엄蝎).pdf,/home/hjkim/doc_ocr/data/gt/ch/（2025）빴0120覲놓15뵀(覲慤털엄蝎).txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__（2025）빴0120覲놓15뵀(覲慤털엄蝎).txt
ch__（2025）빴0120覲놓390뵀(覲慤털엄蝎),ch,paddleocr_vl,gpu:0,,2,1.911,0.956,1,1933,205,59,2,0,0.978789,1.0,1892,59,basic,,/home/hjkim/doc_ocr/data/ch/（2025）빴0120覲놓390뵀(覲慤털엄蝎).pdf,/home/hjkim/doc_ocr/data/gt/ch/（2025）빴0120覲놓390뵀(覲慤털엄蝎).txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__（2025）빴0120覲놓390뵀(覲慤털엄蝎).txt
en__24-7435_5if6,en,paddleocr_vl,gpu:0,,3,31.93,10.643,1,5166,5111,857,828,0,0.010647,0.070012,55,60,basic,,/home/hjkim/doc_ocr/data/en/24-7435_5if6.pdf,/home/hjkim/doc_ocr/data/gt/en/24-7435_5if6.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__24-7435_5if6.txt
en__249799,en,paddleocr_vl,gpu:0,,2,24.224,12.112,1,2944,2941,434,421,0,0.253736,0.269585,747,117,basic,,/home/hjkim/doc_ocr/data/en/249799.pdf,/home/hjkim/doc_ocr/data/gt/en/249799.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__249799.txt
en__25-524_0971,en,paddleocr_vl,gpu:0,,3,34.082,11.361,1,5399,5336,867,829,0,0.01241,0.086505,67,75,basic,,/home/hjkim/doc_ocr/data/en/25-524_0971.pdf,/home/hjkim/doc_ocr/data/gt/en/25-524_0971.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-524_0971.txt
en__25-821_e29g,en,paddleocr_vl,gpu:0,,1,10.169,10.169,1,1473,1462,238,231,0,0.008826,0.058824,13,14,basic,,/home/hjkim/doc_ocr/data/en/25-821_e29g.pdf,/home/hjkim/doc_ocr/data/gt/en/25-821_e29g.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-821_e29g.txt
en__25-851_ed9f,en,paddleocr_vl,gpu:0,,1,9.348,9.348,1,1505,1489,249,240,0,0.010631,0.068273,16,17,basic,,/home/hjkim/doc_ocr/data/en/25-851_ed9f.pdf,/home/hjkim/doc_ocr/data/gt/en/25-851_ed9f.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-851_ed9f.txt
en__25-885_5h26,en,paddleocr_vl,gpu:0,,3,35.746,11.915,1,5550,5501,939,915,0,0.008829,0.053248,49,50,basic,,/home/hjkim/doc_ocr/data/en/25-885_5h26.pdf,/home/hjkim/doc_ocr/data/gt/en/25-885_5h26.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__25-885_5h26.txt
en__USCOURTS-caed-6_25-mj-00015-1,en,paddleocr_vl,gpu:0,,3,46.436,15.479,1,5601,5667,983,989,0,0.104624,0.191251,586,188,basic,,/home/hjkim/doc_ocr/data/en/USCOURTS-caed-6_25-mj-00015-1.pdf,/home/hjkim/doc_ocr/data/gt/en/USCOURTS-caed-6_25-mj-00015-1.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__USCOURTS-caed-6_25-mj-00015-1.txt
en__USCOURTS-mnd-0_06-cr-00130-1,en,paddleocr_vl,gpu:0,,3,22.753,7.584,1,3348,3394,527,531,0,0.014934,0.020873,50,11,basic,,/home/hjkim/doc_ocr/data/en/USCOURTS-mnd-0_06-cr-00130-1.pdf,/home/hjkim/doc_ocr/data/gt/en/USCOURTS-mnd-0_06-cr-00130-1.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__USCOURTS-mnd-0_06-cr-00130-1.txt
en__gomez_albertocortes,en,paddleocr_vl,gpu:0,,2,19.027,9.514,1,2508,2462,389,374,0,0.049442,0.095116,124,37,basic,,/home/hjkim/doc_ocr/data/en/gomez_albertocortes.pdf,/home/hjkim/doc_ocr/data/gt/en/gomez_albertocortes.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__gomez_albertocortes.txt
en__vae1_tetteh_0,en,paddleocr_vl,gpu:0,,2,21.305,10.653,1,2864,2819,454,429,0,0.092528,0.15859,265,72,basic,,/home/hjkim/doc_ocr/data/en/vae1_tetteh_0.pdf,/home/hjkim/doc_ocr/data/gt/en/vae1_tetteh_0.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/en__vae1_tetteh_0.txt
ko__140801_서부지검_보도자료,ko,paddleocr_vl,gpu:0,,5,88.078,17.616,1,3698,4274,776,744,0,0.24662,0.403351,912,313,basic,,/home/hjkim/doc_ocr/data/ko/140801_서부지검_보도자료.pdf,/home/hjkim/doc_ocr/data/gt/ko/140801_서부지검_보도자료.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__140801_서부지검_보도자료.txt
ko__2015고단7004_판결문,ko,paddleocr_vl,gpu:0,,6,95.012,15.835,1,4450,4398,1087,1047,0,0.029438,0.142594,131,155,basic,,/home/hjkim/doc_ocr/data/ko/2015고단7004_판결문.pdf,/home/hjkim/doc_ocr/data/gt/ko/2015고단7004_판결문.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__2015고단7004_판결문.txt
ko__2015노4675_판결문,ko,paddleocr_vl,gpu:0,,2,112.13,56.065,1,5324,5223,1289,1204,0,0.34429,0.469356,1833,605,basic,,/home/hjkim/doc_ocr/data/ko/2015노4675_판결문.pdf,/home/hjkim/doc_ocr/data/gt/ko/2015노4675_판결문.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__2015노4675_판결문.txt
ko__2023고단2541_판결문_검수완료,ko,paddleocr_vl,gpu:0,,6,99.692,16.615,1,4484,4388,1092,1016,0,0.029884,0.135531,134,148,basic,,/home/hjkim/doc_ocr/data/ko/2023고단2541_판결문_검수완료.pdf,/home/hjkim/doc_ocr/data/gt/ko/2023고단2541_판결문_검수완료.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__2023고단2541_판결문_검수완료.txt
ko__2025고정378_판결문,ko,paddleocr_vl,gpu:0,,2,18.702,9.351,1,783,764,199,185,0,0.024266,0.100503,19,20,basic,,/home/hjkim/doc_ocr/data/ko/2025고정378_판결문.pdf,/home/hjkim/doc_ocr/data/gt/ko/2025고정378_판결문.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__2025고정378_판결문.txt
ko__2025고합394_판결문,ko,paddleocr_vl,gpu:0,,8,148.037,18.505,1,6678,6589,1554,1483,0,0.015124,0.083012,101,129,basic,,/home/hjkim/doc_ocr/data/ko/2025고합394_판결문.pdf,/home/hjkim/doc_ocr/data/gt/ko/2025고합394_판결문.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ko__2025고합394_판결문.txt
