engine,group,device,n_docs,n_scored,n_pages,exact_match,cer_micro,cer_macro,wer_micro,wer_macro,total_seconds,sec_per_page,n_failed,normalize
paddleocr_vl,ALL,gpu:0,46,46,0,0.0,0.047204,0.047114,0.116684,0.185909,0.0,,0,basic
paddleocr_vl,ch,gpu:0,6,6,0,0.0,0.03704,0.038651,0.746411,0.710061,0.0,,0,basic
paddleocr_vl,en,gpu:0,10,10,0,0.0,0.045729,0.045503,0.093618,0.09153,0.0,,0,basic
paddleocr_vl,ko,gpu:0,10,10,0,0.0,0.079506,0.072699,0.190499,0.186079,0.0,,0,basic
paddleocr_vl,pil,gpu:0,5,5,0,0.0,0.047173,0.033686,0.066688,0.055477,0.0,,0,basic
paddleocr_vl,ru,gpu:0,5,5,0,0.0,0.059142,0.048065,0.068202,0.059218,0.0,,0,basic
paddleocr_vl,uz,gpu:0,5,5,0,0.0,0.042226,0.042767,0.141272,0.139825,0.0,,0,basic
paddleocr_vl,vn,gpu:0,5,5,0,0.0,0.02562,0.026143,0.047013,0.048554,0.0,,0,basic
tesseract,ALL,cpu,46,46,0,0.0,0.106905,0.130347,0.198728,0.317691,0.0,,0,basic
tesseract,ch,cpu,6,6,0,0.0,0.251556,0.20311,1.430622,1.231233,0.0,,0,basic
tesseract,en,cpu,10,10,0,0.0,0.035961,0.034362,0.084694,0.078491,0.0,,0,basic
tesseract,ko,cpu,10,10,0,0.0,0.3676,0.356284,0.482892,0.477317,0.0,,0,basic
tesseract,pil,cpu,5,5,0,0.0,0.028712,0.068365,0.045629,0.106387,0.0,,0,basic
tesseract,ru,cpu,5,5,0,0.0,0.064561,0.051078,0.077502,0.062765,0.0,,0,basic
tesseract,uz,cpu,5,5,0,0.0,0.029372,0.034978,0.089836,0.097596,0.0,,0,basic
tesseract,vn,cpu,5,5,0,0.0,0.019431,0.019746,0.066291,0.066908,0.0,,0,basic
easyocr,ALL,gpu:0,46,46,0,0.0,0.098258,0.106455,0.234868,0.358632,0.0,,0,basic
easyocr,ch,gpu:0,6,6,0,0.0,0.069667,0.070807,1.079745,1.113922,0.0,,0,basic
easyocr,en,gpu:0,10,10,0,0.0,0.043382,0.045056,0.151709,0.150797,0.0,,0,basic
easyocr,ko,gpu:0,10,10,0,0.0,0.242452,0.209999,0.473749,0.44089,0.0,,0,basic
easyocr,pil,gpu:0,5,5,0,0.0,0.044297,0.059861,0.105297,0.123469,0.0,,0,basic
easyocr,ru,gpu:0,5,5,0,0.0,0.271006,0.22989,0.457927,0.418298,0.0,,0,basic
easyocr,uz,gpu:0,5,5,0,0.0,0.06346,0.071834,0.176326,0.179746,0.0,,0,basic
easyocr,vn,gpu:0,5,5,0,0.0,0.021962,0.022722,0.056919,0.057821,0.0,,0,basic
