doc_id,group,engine,device,lang,n_pages,seconds,sec_per_page,gt_found,gt_chars,pred_chars,gt_words,pred_words,exact_match,cer,wer,char_errors,word_errors,normalize,error,pdf,gt,pred_path
ch__(2019)0113_,ch,paddleocr_vl,gpu:0,,,,,1,1498,1473,78,53,0,0.016689,0.448718,25,35,basic,,/home/hjkim/doc_ocr/data/ch/(2019)0113_.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2019)0113_.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__(2019)0113_.txt
ch__(2020)_0109_488,ch,paddleocr_vl,gpu:0,,,,,1,1809,1767,77,44,0,0.028192,0.636364,51,49,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_0109_488.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_0109_488.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__(2020)_0109_488.txt
ch__(2020)_0381_884,ch,paddleocr_vl,gpu:0,,,,,1,1776,1734,84,43,0,0.051239,0.75,91,63,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_0381_884.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_0381_884.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__(2020)_0381_884.txt
ch__(2020)_1002_314_,ch,paddleocr_vl,gpu:0,,,,,1,1884,1874,77,47,0,0.032909,0.649351,62,50,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_1002_314_.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_1002_314_.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__(2020)_1002_314_.txt
ch__1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D,ch,paddleocr_vl,gpu:0,,,,,1,1110,1052,75,19,0,0.066667,0.92,74,69,basic,,/home/hjkim/doc_ocr/data/ch/1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.pdf,/home/hjkim/doc_ocr/data/gt/ch/1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.txt
ch__四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书,ch,paddleocr_vl,gpu:0,,,,,1,4612,4497,236,119,0,0.03621,0.855932,167,202,basic,,/home/hjkim/doc_ocr/data/ch/四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.pdf,/home/hjkim/doc_ocr/data/gt/ch/四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.txt,/home/hjkim/doc_ocr/result/pred/paddleocr_vl/ch__四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.txt
ch__(2019)0113_,ch,tesseract,cpu,chi_sim+eng,,,,1,1498,1534,78,113,0,0.132844,0.923077,199,72,basic,,/home/hjkim/doc_ocr/data/ch/(2019)0113_.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2019)0113_.txt,/home/hjkim/doc_ocr/result/pred/tesseract/ch__(2019)0113_.txt
ch__(2020)_0109_488,ch,tesseract,cpu,chi_sim+eng,,,,1,1809,1798,77,85,0,0.052515,0.688312,95,53,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_0109_488.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_0109_488.txt,/home/hjkim/doc_ocr/result/pred/tesseract/ch__(2020)_0109_488.txt
ch__(2020)_0381_884,ch,tesseract,cpu,chi_sim+eng,,,,1,1776,1805,84,101,0,0.07545,0.77381,134,65,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_0381_884.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_0381_884.txt,/home/hjkim/doc_ocr/result/pred/tesseract/ch__(2020)_0381_884.txt
ch__(2020)_1002_314_,ch,tesseract,cpu,chi_sim+eng,,,,1,1884,1931,77,138,0,0.289278,1.506494,545,116,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_1002_314_.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_1002_314_.txt,/home/hjkim/doc_ocr/result/pred/tesseract/ch__(2020)_1002_314_.txt
ch__1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D,ch,tesseract,cpu,chi_sim+eng,,,,1,1110,1109,75,127,0,0.246847,1.453333,274,109,basic,,/home/hjkim/doc_ocr/data/ch/1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.pdf,/home/hjkim/doc_ocr/data/gt/ch/1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.txt,/home/hjkim/doc_ocr/result/pred/tesseract/ch__1767528250552_B264D298D87D4A329BAAEE4DE23DFB2D.txt
ch__四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书,ch,tesseract,cpu,chi_sim+eng,,,,1,4612,4831,236,519,0,0.421726,2.042373,1945,482,basic,,/home/hjkim/doc_ocr/data/ch/四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.pdf,/home/hjkim/doc_ocr/data/gt/ch/四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.txt,/home/hjkim/doc_ocr/result/pred/tesseract/ch__四川省川谷坊酒业有限公司、曾庆芬非法吸收公众存款罪一审刑事判决书.txt
ch__(2019)0113_,ch,easyocr,gpu:0,ch_sim+en,,,,1,1498,1511,78,109,0,0.067423,1.064103,101,83,basic,,/home/hjkim/doc_ocr/data/ch/(2019)0113_.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2019)0113_.txt,/home/hjkim/doc_ocr/result/pred/easyocr/ch__(2019)0113_.txt
ch__(2020)_0109_488,ch,easyocr,gpu:0,ch_sim+en,,,,1,1809,1833,77,127,0,0.08126,1.376623,147,106,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_0109_488.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_0109_488.txt,/home/hjkim/doc_ocr/result/pred/easyocr/ch__(2020)_0109_488.txt
ch__(2020)_0381_884,ch,easyocr,gpu:0,ch_sim+en,,,,1,1776,1811,84,134,0,0.076014,1.261905,135,106,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_0381_884.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_0381_884.txt,/home/hjkim/doc_ocr/result/pred/easyocr/ch__(2020)_0381_884.txt
ch__(2020)_1002_314_,ch,easyocr,gpu:0,ch_sim+en,,,,1,1884,1909,77,111,0,0.06104,1.103896,115,85,basic,,/home/hjkim/doc_ocr/data/ch/(2020)_1002_314_.pdf,/home/hjkim/doc_ocr/data/gt/ch/(2020)_1002_314_.txt,/home/hjkim/doc_ocr/result/pred/easyocr/ch__(2020)_1002_314_.txt
