engine,group,device,n_docs,n_scored,n_pages,exact_match,cer_micro,cer_macro,wer_micro,wer_macro,total_seconds,sec_per_page,n_failed,normalize
paddleocr_vl,ALL,gpu:0,42,42,0,0.0,0.070418,0.078938,0.131432,0.177427,0.0,,0,basic
paddleocr_vl,ch,gpu:0,2,2,0,0.0,0.046138,0.053932,0.861736,0.88161,0.0,,0,basic
paddleocr_vl,en,gpu:0,10,10,0,0.0,0.054101,0.056514,0.108641,0.108058,0.0,,0,basic
paddleocr_vl,ko,gpu:0,10,10,0,0.0,0.079506,0.072699,0.190499,0.186079,0.0,,0,basic
paddleocr_vl,pil,gpu:0,5,5,0,0.0,0.047173,0.033686,0.066688,0.055477,0.0,,0,basic
paddleocr_vl,ru,gpu:0,5,5,0,0.0,0.32257,0.280481,0.347424,0.305617,0.0,,0,basic
paddleocr_vl,uz,gpu:0,5,5,0,0.0,0.042226,0.042767,0.141272,0.139825,0.0,,0,basic
paddleocr_vl,vn,gpu:0,5,5,0,0.0,0.02562,0.026143,0.047013,0.048554,0.0,,0,basic
tesseract,ALL,cpu,42,42,0,0.0,0.128334,0.160681,0.208838,0.28669,0.0,,0,basic
tesseract,ch,cpu,2,2,0,0.0,0.387801,0.334286,1.900322,1.747853,0.0,,0,basic
tesseract,en,cpu,10,10,0,0.0,0.039634,0.040968,0.081017,0.079449,0.0,,0,basic
tesseract,ko,cpu,10,10,0,0.0,0.3676,0.356284,0.482892,0.477317,0.0,,0,basic
tesseract,pil,cpu,5,5,0,0.0,0.028712,0.068365,0.045629,0.106387,0.0,,0,basic
tesseract,ru,cpu,5,5,0,0.0,0.337305,0.298411,0.363124,0.32463,0.0,,0,basic
tesseract,uz,cpu,5,5,0,0.0,0.029372,0.034978,0.089836,0.097596,0.0,,0,basic
tesseract,vn,cpu,5,5,0,0.0,0.019431,0.019746,0.066291,0.066908,0.0,,0,basic
easyocr,ALL,gpu:0,42,42,0,0.0,0.11259,0.130184,0.234543,0.294861,0.0,,0,basic
easyocr,ch,gpu:0,2,2,0,0.0,0.067459,0.069552,0.954984,0.938503,0.0,,0,basic
easyocr,en,gpu:0,10,10,0,0.0,0.048297,0.053454,0.147044,0.152055,0.0,,0,basic
easyocr,ko,gpu:0,10,10,0,0.0,0.242452,0.209999,0.473749,0.44089,0.0,,0,basic
easyocr,pil,gpu:0,5,5,0,0.0,0.044297,0.059861,0.105297,0.123469,0.0,,0,basic
easyocr,ru,gpu:0,5,5,0,0.0,0.413001,0.384403,0.566425,0.554509,0.0,,0,basic
easyocr,uz,gpu:0,5,5,0,0.0,0.06346,0.071834,0.176326,0.179746,0.0,,0,basic
easyocr,vn,gpu:0,5,5,0,0.0,0.021962,0.022722,0.056919,0.057821,0.0,,0,basic
